Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF14	20181114	8,2018-11-14 08:00:09,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_forQF14_1_20181114_084223.avi,63.160,25.0,Worker 4 (87),pollenforaging,,,STATE,0.000,14.201,14.201,,
for	QF14	20181119	14,2018-11-19 14:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_forQF14_1_20181119_143435.avi,65.640,25.0,Worker 4 (87),pollenforaging,,,STATE,2.380,11.550,9.170,,
for	QF14	20181115	4,2018-11-15 04:00:17,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF14/05_forQF14_1_20181115_043801.avi,58.760,25.0,Worker 4 (87),nectarforaging,,,STATE,10.303,47.003,36.700,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 4 (87),fillshoneypot,,,POINT,16.889,16.889,NA,,
for	QF14	20181115	5,2018-11-15 05:00:17,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF14/05_forQF14_1_20181115_054133.avi,59.760,25.0,Worker 4 (87),nectarforaging,,,STATE,19.701,23.929,4.228,,
for	QF14	20181114	8,2018-11-14 08:00:09,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_forQF14_1_20181114_084223.avi,63.160,25.0,Worker 4 (87),pollenforaging,,,STATE,20.328,48.552,28.224,,
for	QF14	20181119	14,2018-11-19 14:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_forQF14_1_20181119_143435.avi,65.640,25.0,Worker 4 (87),nectarforaging,,,STATE,23.704,25.304,1.600,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 4 (87),fillshoneypot,,,POINT,23.765,23.765,NA,,
for	QF14	20181119	3,2018-11-19 03:00:16,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF14/05_forQF14_1_20181119_030051.avi,68.120,25.0,Worker 4 (87),pollenforaging,,,STATE,23.976,46.939,22.963,,
nest	QF14	20181121	3,2018-11-21 03:00:05,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_033131.avi,1863.500,22.0,Worker 3 (75),feedsbrood,,,POINT,25.655,25.655,NA,,
nest	QF14	20181121	15,2021-11-15 15:00:42,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_153312.avi,1789.090,22.0,Worker 1 (23),feedsbrood,,,POINT,26.917,26.917,NA,,
nest	QF14	20181114	8,2018-11-14 08:00:38,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181114_085009.avi,71.320,22.0,Worker 2 (40),feedsbrood,,,POINT,30.753,30.753,NA,,
nest	QF14	20181115	8,2018-11-15 08:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181115_082036.avi,63.090,22.0,Worker 3 (75),feedsbrood,,,POINT,31.554,31.554,NA,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 4 (87),fillshoneypot,,,POINT,32.586,32.586,NA,,
nest	QF14	20181114	8,2018-11-14 08:00:38,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181114_085009.avi,71.320,22.0,Worker 2 (40),feedsbrood,,,POINT,37.777,37.777,NA,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 4 (87),fillshoneypot,,,POINT,40.837,40.837,NA,,
nest	QF14	20181114	2,2018-11-14 02:00:41,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181114_022906.avi,61.180,22.0,Worker 3 (75),feedsbrood,,,POINT,40.905,40.905,NA,,
for	QF14	20181115	4,2018-11-15 04:00:17,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF14/05_forQF14_1_20181115_043801.avi,58.760,25.0,Worker 4 (87),pollenforaging,,,STATE,47.780,56.505,8.725,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 4 (87),fillshoneypot,,,POINT,56.738,56.738,NA,,
nest	QF14	20181121	15,2021-11-15 15:00:42,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_153312.avi,1789.090,22.0,Worker 1 (23),feedsbrood,,,POINT,60.593,60.593,NA,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 4 (87),fillshoneypot,,,POINT,70.465,70.465,NA,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 4 (87),fillshoneypot,,,POINT,77.234,77.234,NA,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 5 (91),fillshoneypot,,,POINT,108.269,108.269,NA,,
nest	QF14	20181121	15,2021-11-15 15:00:42,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_153312.avi,1789.090,22.0,Worker 1 (23),feedsbrood,,,POINT,155.537,155.537,NA,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 4 (87),feedsbrood,,,POINT,216.279,216.279,NA,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 5 (91),fillshoneypot,,,POINT,301.842,301.842,NA,,
for	QF14	20181121	22,2018-11-21 22:00:53,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_forQF14_1_20181121_223602.avi,1779.000,25.0,Worker 5 (91),nectarforaging,,,STATE,875.561,940.414,64.853,,
for	QF14	20181121	22,2018-11-21 22:00:53,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_forQF14_1_20181121_223602.avi,1779.000,25.0,Worker 4 (87),nectarforaging,,,STATE,901.887,902.561,0.674,,
for	QF14	20181121	22,2018-11-21 22:00:53,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_forQF14_1_20181121_223602.avi,1779.000,25.0,Worker 4 (87),nectarforaging,,,STATE,911.412,917.565,6.153,,
for	QF14	20181121	3,2018-11-21 03:00:50,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_forQF14_1_20181121_033312.avi,1758.760,25.0,Worker 1 (23),nectarforaging,,,STATE,964.105,1026.889,62.784,,
for	QF14	20181121	22,2018-11-21 22:00:53,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_forQF14_1_20181121_223602.avi,1779.000,25.0,Worker 1 (23),nectarforaging,,,STATE,1361.083,1450.937,89.854,,
